,rtrating,numofreviews,link,movietitle,year,AspectRatio,BoxOffice(GrossUSA),Director,Distributor,Genre,OriginalLanguage,Producer,Rating,ReleaseDate(Streaming),Runtime,SoundMix,Writer,MovieRuntime,ReleaseDate(Theater),ReleaseType,streamingornot,releasetype
225,96 ,83,/m/the_tragedy_of_macbeth_2021,The Tragedy of Macbeth,2021,,,Joel Coen,A24,Drama,English,"Joel Coen, Robert Graf, Frances Mc Dormand",R,"Jan14,2022",1h45m,Dolby Digital,Joel Coen,105.0,"Dec25,2021 ",limited,1,0
226,98 ,97,/m/two_of_us,Two of Us Deux,2021,Scope(2.35:1),3000.0,Filippo Meneghetti,Magnolia Pictures,Lgbtq+,French(France),"Laurent Baujard, Pierre- Emmanuel Fleurantin",,"Feb5,2021",1h35m,,"Filippo Meneghetti, Malysone Bovorasmy",95.0,"Feb5,2021 ",limited,1,0
227,95 ,170,/m/mass_2021,Mass,2021,,145000.0,Fran Kranz,Bleecker Street,Drama,English,"Dylan Matlock, Casey Wilder Mott, J. P. Ouellette",PG-13,,1h50m,,Fran Kranz,110.0,"Oct8,2021 ",limited,0,0
228,100 ,47,/m/beyond_the_infinite_two_minutes,Beyond the Infinite Two Minutes,2021,,,Junta Yamaguchi,,Comedy,Japanese,"Kazuchika Yoshida, Takahiro Otsuki",,,1h10m,,Makoto Ueda,70.0,,,0,
229,100 ,47,/m/luzzu,Luzzu,2021,Flat(1.85:1),35900.0,Alex Camilleri,Kino Lorber,Drama,Maltese,", Ramin Bahrani, Alex Camilleri, Oliver Mallia",,"Jan14,2022",1h35m,,Alex Camilleri,95.0,"Oct15,2021 ",limited,1,0
230,99 ,69,/m/identifying_features,Identifying Features Sin Señas Particulares,2021,Scope(2.35:1),,Fernanda Valadez,Kino Lorber,Drama,Spanish,"Jack Zagha Kababie, Astrid Rondero, Fernanda Valadez, Yossy Zagha",,"Mar23,2021",1h35m,,"Astrid Rondero, Fernanda Valadez",95.0,"Jan22,2021 ",limited,1,0
231,100 ,44,/m/sabaya,Sabaya,2021,,,Hogir Hirori,,Documentary,Kurdish,"Hogir Hirori, Antonio Russo Merenda",,"Nov15,2021",1h30m,,Hogir Hirori,90.0,"Jul30,2021 ",limited,1,0
232,98 ,92,/m/julia_2021,Julia,2021,,370800.0,"Julie Cohen, Betsy West",Sony Pictures Classics,Documentary,English,"Sara Bernstein, Julie Cohen, Holly Siegel, Betsy West, Justin Wilkes",PG-13,,1h35m,,,95.0,"Nov12,2021 ",limited,0,0
233,100 ,43,/m/paper_spiders,Paper Spiders,2021,,,Inon Shampanier,Entertainment Squad,Drama,English,"Ash Christian, Anne Clements",PG,"Jun22,2021",1h50m,,Natalie Shampanier,110.0,"May7,2021 ",limited,1,0
234,100 ,42,/m/woodlands_dark_and_days_bewitched_a_history_of_folk_horror,Woodlands Dark and Days Bewitched: A History of Folk Horror,2021,,,Kier- La Janisse,,Documentary,Portuguese(Brazil),"Winnie Cheung, Kier- La Janisse",,"Oct26,2021",3h14m,,"Kier- La Janisse, Kier- La Janisse",194.0,,,1,
235,100 ,42,/m/hive,Hive,2021,,13800.0,Blerta Basholli,Zeitgeist Films,Drama,Albanian,"Valon Bajgora, Agon Uka, Yll Uka",,,1h24m,,Blerta Basholli,84.0,"Nov5,2021 ",limited,0,0
236,100 ,42,/m/the_woman_who_ran,The Woman Who Ran,2021,,,Hong Sang-soo,The Cinema Guild,Comedy,Korean,,,,1h17m,,Hong Sang-soo,77.0,"Jul9,2021 ",limited,0,0
237,100 ,41,/m/azor,Azor,2021,,53300.0,Andreas Fontana,M U B I,Mystery&thriller,French(France),"David Epiney, Eugenia Mumenthaler",,"Dec3,2021",1h40m,,Andreas Fontana,100.0,"Sep10,2021 ",limited,1,0
238,89 ,303,/m/the_green_knight,The Green Knight,2021,Flat(1.85:1),17000000.0,David Lowery,A24,Fantasy,English,"Tim Headington, Toby Halbrooks, James M. Johnston, Theresa Steele Page",R,"Aug19,2021",2h5m,Dolby Digital,David Lowery,125.0,"Jul30,2021 ",wide,1,1
239,96 ,130,/m/im_your_man_2021,I'm Your Man,2021,,274400.0,Maria Schrader,Bleecker Street,Comedy,German,Lisa Blumenberg,R,"Oct12,0201",1h45m,,"Jan Schomburg, Maria Schrader, Emma Braslavsky",105.0,"Sep24,2021 ",limited,1,0
240,96 ,125,/m/riders_of_justice,Riders of Justice,2021,,77000.0,Anders Thomas Jensen,,Mystery&thriller,Danish,"Sisse Graum Jørgensen, Sidsel Hybschmann",,"May21,2021",1h56m,,Anders Thomas Jensen,116.0,"May14,2021 ",limited,1,0
241,83 ,442,/m/dune_2021,Dune,2021,Scope(2.35:1),106900000.0,Denis Villeneuve,Warner Bros. Pictures,Sci-fi,English,"Denis Villeneuve, Mary Parent, Cale Boyter, Joseph Caracciolo Jr.",PG-13,"Oct22,2021",2h35m,"Dolby Atmos, Dolby Digital","Jon Spaihts, Denis Villeneuve, Eric Roth",155.0,"Oct22,2021 ",wide,1,1
242,91 ,243,/m/king_richard,King Richard,2021,Scope(2.35:1),14700000.0,Reinaldo Marcus Green,Warner Bros. Pictures,Biography,English,"Tim White, Trevor White, Will Smith",PG-13,"Nov19,2021",2h26m,Dolby Digital,Zach Baylin,146.0,"Nov19,2021 ",wide,1,1
243,97 ,90,/m/i_carry_you_with_me,I Carry You with Me,2021,,166000.0,Heidi Ewing,Sony Pictures Classics,Lgbtq+,Spanish,"Edher Campos, Heidi Ewing, Mynette Louie, Gabriela Maire",R,"Sep21,2021",1h51m,,Heidi Ewing,111.0,"Jun25,2021 ",limited,1,0
244,97 ,87,/m/language_lessons,Language Lessons,2021,,73300.0,Natalie Morales,S H O U T! S T U D I O S,Comedy,English,Mel Eslyn,,"Oct25,2021",1h31m,,"Mark Duplass, Natalie Morales",91.0,"Sep10,2021 ",limited,1,0
245,98 ,61,/m/the_paper_tigers,The Paper Tigers,2021,,112700.0,Quoc Bao Tran,Well Go U S A Entertainment,Sports&fitness,English,"Michael Velasquez, Yuji Okumoto, Al'n Duong, Dan Gildark, Quoc Bao Tran",PG-13,"May7,2021",1h48m,Dolby Digital,Quoc Bao Tran,108.0,"May7,2021 ",limited,1,0
246,94 ,155,/m/cmon_cmon,C'mon C'mon,2021,,1500000.0,Mike Mills,A24,Drama,English,"Andrea Longacre- White, Lila Yacoub, Chelsea Barnard",R,"Dec23,2021",1h48m,Dolby Digital,Mike Mills,108.0,"Nov19,2021 ",limited,1,0
247,98 ,55,/m/wheel_of_fortune_and_fantasy,Wheel of Fortune and Fantasy,2021,,,Ryûsuke Hamaguchi,Film Movement,Drama,Japanese,", Satoshi Takata",,,2h1m,,Ryûsuke Hamaguchi,121.0,"Oct15,2021 ",limited,0,0
248,98 ,53,/m/becoming_cousteau,Becoming Cousteau Cousteau,2021,Flat(1.85:1),230500.0,Liz Garbus,Picturehouse,Documentary,English,"Mridu Chandra, Dan Cogan, Liz Garbus, Evan Hayes",PG-13,"Nov24,2021",1h33m,Dolby Digital,"Mark Monroe, Pax Wassermann, Mark Monroe, Pax Wassermann",93.0,"Oct22,2021 ",limited,1,0
249,84 ,394,/m/no_time_to_die_2021,No Time To Die,2021,Scope(2.35:1),160500000.0,Cary Joji Fukunaga,Metro- Goldwyn- Mayer,Mystery&thriller,English,"Michael G. Wilson, Barbara Broccoli",PG-13,"Nov9,2021",2h43m,"Dolby Digital, Dolby Atmos","Neal Purvis, Robert Wade, Cary Joji Fukunaga, Phoebe Waller- Bridge, Scott Z. Burns",163.0,"Oct8,2021 ",wide,1,1
250,97 ,76,/m/the_lost_leonardo,The Lost Leonardo,2021,,445300.0,Andreas Koefoed,Sony Pictures Classics,Documentary,English,"Andreas Møl Dalsgaard, Christoph Jörg",PG-13,"Nov15,2021",1h30m,,"Andreas Koefoed, Duska Zagorac, Andreas Møl Dalsgaard, Mark Monroe, Christian Kirk Muff, Andreas Koefoed",90.0,"Aug13,2021 ",limited,1,0
251,96 ,100,/m/billie_eilish_the_worlds_a_little_blurry,Billie Eilish: The World's a Little Blurry,2021,,,R. J. Cutler,N E O N,Documentary,English,"R. J. Cutler, Trevor Smith",R,"Feb26,2021",2h21m,,,141.0,"Feb26,2021 ",limited,1,0
252,96 ,99,/m/petite_maman,Petite Maman,2021,,,Céline Sciamma,,Drama,French(France),Bénédicte Couvreur,,,1h12m,,"Céline Sciamma, Céline Sciamma",72.0,,,0,
253,98 ,48,/m/my_heart_cant_beat_unless_you_tell_it_to,My Heart Can't Beat Unless You Tell It To,2021,,,Jonathan Cuartas,Dark Sky Films,Horror,English,"Jesse R. Brown, Patrick Fugit, Anthony Pedone, Ian Peterson, Kenny Riches",,"Jun25,2021",1h30m,,Jonathan Cuartas,90.0,"Jun25,2021 ",limited,1,0
254,98 ,48,/m/hope_2021,Hope Håp,2021,Scope(2.35:1),,Maria Sødahl,Kim Stim,Drama,Norwegian,"Thomas Robsahm, Yngve Sæther",,,2h6m,,Maria Sødahl,126.0,"Apr16,2021 ",limited,0,0
255,95 ,122,/m/the_lost_daughter,The Lost Daughter,2021,,,Maggie Gyllenhaal,Netflix,Drama,English,"Charlie Dorfman, Maggie Gyllenhaal, Osnat Handelsman- Keren, Talia Kleinhendler",R,"Dec31,2021",2h2m,Dolby Digital,Maggie Gyllenhaal,122.0,"Dec31,2021 ",limited,1,0
256,98 ,47,/m/demon_slayer_kimetsu_no_yaiba_the_movie_mugen_train,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2021,,,Haruo Sotozaki,Funimation,Anime,Japanese,,R,"Jun22,2021",1h57m,Dolby Digital,,117.0,"Apr23,2021 ",wide,1,1
257,98 ,46,/m/attica_2021,Attica,2021,,,"Stanley Nelson, Traci Curry",Showtime Documentary Films,Documentary,,"Stanley Nelson, Traci Curry",,"Nov6,2021",1h56m,,Stanley Nelson,116.0,"Oct29,2021 ",limited,1,0
258,98 ,44,/m/days_2021,Days Rizi,2021,,,Ming-liang Tsai,Grasshopper Film,Documentary,Chinese,Claude Wang,,"Dec11,2021",2h0m,,Ming-liang Tsai,120.0,"Aug13,2021 ",limited,1,0
259,98 ,43,/m/boiling_point_2021,Boiling Point,2021,Scope(2.35:1),,Philip Barantini,Saban Films,Drama,English,"Hester Ruoff, Bart Ruspoli",R,"Nov23,2021",1h32m,,"Philip Barantini, James Cummings",92.0,"Nov19,2021 ",limited,1,0
260,98 ,43,/m/7_prisoners,7 Prisoners 7 prisioneiros,2021,,,Alexandre Moratto,Netflix,Drama,Portuguese(Brazil),"Ramin Bahrani, Andrea Barata Ribeiro, Fernando Meirelles, Alexandre Moratto",R,"Nov11,2021",1h33m,,"Alexandre Moratto, Thayná Mantesso",93.0,"Nov5,2021 ",limited,1,0
261,98 ,42,/m/playing_with_sharks,Playing with Sharks,2021,,,Sally Aitken,,Documentary,English,Bettina Dalton,,"Jul23,2021",1h35m,,Sally Aitken,95.0,,,1,
262,98 ,42,/m/drunk_bus,Drunk Bus,2021,,,"John Carlucci, Brandon La Ganke",Film Rise,Comedy,English,"Eric Hollenbeck, Steven Ilous, Grant Fitch",,"May21,2021",1h20m,,Chris Molinaro,80.0,"May21,2021 ",limited,1,0
263,96 ,90,/m/the_rescue_2021,The Rescue,2021,,,"Elizabeth Chai Vasarhelyi, Jimmy Chin",Greenwich Entertainment,Documentary,English,"John Battsek, Jimmy Chin, Bob Eisenhardt, P. J.van Sandwijk, Elizabeth Chai Vasarhelyi",PG,"Dec3,2021",1h47m,Dolby Digital,,107.0,"Oct8,2021 ",limited,1,0
264,95 ,109,/m/rita_moreno_just_a_girl_who_decided_to_go_for_it,Rita Moreno: Just a Girl Who Decided to Go For It,2021,,263200.0,Mariem Pérez Riera,Roadside Attractions,Documentary,English,"Brent Miller, Mariem Pérez Riera,",PG-13,"Jul16,2021",1h30m,Stereo,,90.0,"Jun18,2021 ",limited,1,0
265,97 ,58,/m/the_reason_i_jump,The Reason I Jump,2021,,,Jerry Rothwell,Kino Lorber,Documentary,English,"Jeremy Dear, Stevie Lee, Al Morrow",,"May9,2021",1h22m,,Naoki Higashida,82.0,"Jan8,2021 ",limited,1,0
266,90 ,226,/m/passing_2021,Passing,2021,,,Rebecca Hall,Netflix,Drama,English,"Nina Yang Bongiovi, Rebecca Hall, Margot Hand, Forest Whitaker",PG-13,"Nov10,2021",1h38m,,Rebecca Hall,98.0,"Oct27,2021 ",limited,1,0
267,96 ,68,/m/stray_2021,Stray,2021,,13000.0,Elizabeth Lo,Magnolia Pictures,Documentary,Chinese,"Elizabeth Lo, Shane Boris",,"Mar5,2021",1h13m,,Elizabeth Lo,73.0,"Mar5,2021 ",limited,1,0
268,95 ,91,/m/street_gang_how_we_got_to_sesame_street,Street Gang: How We Got to Sesame Street,2021,Scope(2.35:1),,Marilyn Agrelo,Screen Media Films,Documentary,English,"Trevor Crafts, Ellen Scherer Crafts, Lisa Diamond",PG,"May13,2021",1h47m,,,107.0,"Apr23,2021 ",limited,1,0
269,93 ,136,/m/herself,Herself,2021,Scope(2.35:1),,Phyllida Lloyd,Amazon Studios,Drama,English(UnitedKingdom),"Rory Gilmartin, Ed Guiney, Sharon Horgan",R,"Jan8,2021",1h37m,,"Malcolm Campbell, Clare Dunne",97.0,"Dec30,2020 ",limited,1,0
270,96 ,53,/m/test_pattern,Test Pattern,2021,Flat(1.85:1),,Shatara Michelle Ford,Kino Lorber,Drama,English,"Shatara Michelle Ford, Pin- Chun Liu, Yu- Hao Su",,"Mar29,2021",1h22m,,Shatara Michelle Ford,82.0,"Feb12,2021 ",limited,1,0
271,96 ,52,/m/the_novice_2021,The Novice,2021,,12300.0,Lauren Hadaway,I F C Films,Mystery&thriller,English,"Ryan Hawkins, Kari Hollend, Steven Sims, Zack Zucker",R,"Dec17,2021",1h34m,,Lauren Hadaway,94.0,"Dec17,2021 ",limited,1,0
272,96 ,52,/m/in_the_same_breath,In the Same Breath,2021,,,Nanfu Wang,,Documentary,English,"Christopher Clements, Carolyn Hepburn, Sara Rodriguez, Nanfu Wang, Jialing Zhang",,"Aug18,2021",1h40m,,,100.0,,,1,
273,96 ,51,/m/plan_b_2021,Plan B,2021,,,Natalie Morales,,Comedy,English,"Ryan Bennett, Jeremy Garelick, Josh Heald, Dina Hillier, Jon Hurwitz, Mickey Liddell, Matt Lottman, Will Phelps, Hayden Schlossberg, Pete Shilaimon",,"May28,2021",1h48m,,"Joshua Levy, Prathiksha Srinivasan",108.0,,,1,
274,94 ,97,/m/the_souvenir_part_ii,The Souvenir: Part II,2021,,26000.0,Joanna Hogg,A24,Drama,English,"Ed Guiney, Joanna Hogg, Andrew Lowe, Emma Norton, Luke Schiller",R,,1h46m,,Joanna Hogg,106.0,"Oct29,2021 ",limited,0,0
275,93 ,118,/m/val,Val,2021,,,"Ting Poo, Leo Scott",Amazon Studios,Documentary,English,"Ali Alborzi, Andrew Fried, Val Kilmer, Brad Koepenick, Dane Lillegard, Ting Poo, Leo Scott, Jordan Wynn",R,"Aug6,2021",1h49m,,,109.0,"Jul23,2021 ",limited,1,0
276,92 ,146,/m/licorice_pizza,Licorice Pizza,2021,Scope(2.35:1),1300000.0,Paul Thomas Anderson,Metro- Goldwyn- Mayer,Drama,English,"Sara Murphy, Adam Somner, Paul Thomas Anderson",R,,2h13m,Dolby Digital,Paul Thomas Anderson,133.0,"Nov26,2021 ",limited,0,0
277,88 ,233,/m/zola,Zola,2021,Flat(1.85:1),,Janicza Bravo,A24,Mystery&thriller,English,"Christine Vachon, David Hinojosa, Gia Walsh, Kara Baker, Vince Jolivette, Elizabeth Haggard, Dave Franco",R,"Sep14,2021",1h27m,,"Janicza Bravo, Jeremy O. Harris",87.0,"Jun30,2021 ",wide,1,1
278,95 ,60,/m/rose_plays_julie,Rose Plays Julie,2021,,,"Joe Lawlor, Christine Molloy",Film Movement,Drama,English(UnitedKingdom),"David Collins, Joe Lawlor, Christine Molloy",,"Mar19,2021",1h40m,,"Joe Lawlor, Christine Molloy",100.0,"Mar19,2021 ",limited,1,0
279,95 ,58,/m/lapsis,Lapsis,2021,Scope(2.35:1),,Noah Hutton,Film Movement,Mystery&thriller,English,"Taylor Hess, Jesse Miller, Joseph Varca",,"Feb12,2021",1h44m,,Noah Hutton,104.0,"Feb12,2021 ",limited,1,0
280,95 ,55,/m/dear_comrades,Dear Comrades!,2021,,,Andrey Konchalovskiy,N E O N,History,Russian,Alisher Usmanov,,"Feb5,2021",2h0m,Dolby Digital,"Elena Kiseleva, Andrey Konchalovskiy",120.0,"Jan29,2021 ",limited,1,0
281,94 ,78,/m/the_beta_test,The Beta Test,2021,,30200.0,"Jim Cummings, P J Mc Cabe",I F C Films,Mystery&thriller,English,"Natalie Metzger, Matthew Miller, Benjamin Wiessner",,"Nov5,2021",1h34m,,"Jim Cummings, P J Mc Cabe",94.0,"Nov5,2021 ",limited,1,0
282,84 ,321,/m/candyman_2021,Candyman,2021,Scope(2.35:1),61200000.0,Nia Da Costa,Universal Pictures,Mystery&thriller,English,"Ian Cooper, Win Rosenfeld, Jordan Peele",R,"Sep16,2021",1h31m,Dolby Atmos,"Jordan Peele, Win Rosenfeld, Nia Da Costa",91.0,"Aug27,2021 ",wide,1,1
283,93 ,100,/m/mogul_mowgli,Mogul Mowgli,2021,,52100.0,Bassam Tariq,Strand Releasing,Drama,English,"Riz Ahmed, Thomas Benski, Bennett Mc Ghee, Michael Peay",,"Nov10,2021",1h30m,,"Bassam Tariq, Riz Ahmed",90.0,"Sep3,2021 ",limited,1,0
284,89 ,197,/m/supernova_2021,Supernova,2021,Flat(1.85:1),232300.0,Harry Macqueen,Bleecker Street,Lgbtq+,English,"Tristan Goligher, Emily Morgan",R,"Feb16,2021",1h33m,,Harry Macqueen,93.0,"Jan29,2021 ",limited,1,0
285,93 ,98,/m/the_killing_of_two_lovers,The Killing of Two Lovers,2021,,71200.0,Robert Machoian,N E O N,Drama,English,"Melia Leidenthal, Scott Christopherson",R,"May14,2021",1h25m,,Robert Machoian,85.0,"May14,2021 ",limited,1,0
286,79 ,438,/m/black_widow_2021,Black Widow,2021,Scope(2.35:1),183600000.0,Cate Shortland,Walt Disney,Adventure,English,Kevin Feige,PG-13,"Oct6,2021",2h13m,"Dolby Digital, Dolby Atmos",Eric Pearson,133.0,"Jul9,2021 ",wide,1,1
287,92 ,119,/m/limbo_2021,Limbo,2021,,,Ben Sharrock,Focus Features,Comedy,English,"Irune Gurtubai, Angus Lamont",R,"Jun29,2021",1h43m,,Ben Sharrock,103.0,"Apr30,2021 ",limited,1,0
288,90 ,167,/m/encanto_2021,Encanto,2021,Flat(1.85:1),81500000.0,"Jared Bush, Byron Howard",Walt Disney,Comedy,English,"Yvett Merino Flores, Clark Spencer",PG,"Dec24,2021",1h39m,"D T S, Dolby Atmos, Dolby Digital","Charise Castro Smith, Jared Bush",99.0,"Nov24,2021 ",wide,1,1
289,91 ,142,/m/roadrunner_a_film_about_anthony_bourdain,Roadrunner: A Film About Anthony Bourdain,2021,,5200000.0,Morgan Neville,Focus Features,Documentary,English,"Morgan Neville, Caitrin Rogers",R,"Sep28,2021",1h59m,Dolby Digital,,119.0,"Jul16,2021 ",wide,1,1
290,95 ,40,/m/el_planeta,El Planeta,2021,,,Amalia Ulman,Utopia,Comedy,Spanish,"Kathleen Heffernan, Kweku Mandela, Amalia Ulman",,,1h19m,,Amalia Ulman,79.0,"Sep24,2021 ",limited,0,0
291,94 ,63,/m/old_henry,Old Henry,2021,,42100.0,Potsy Ponciroli,S H O U T! S T U D I O S,Western,English,"Michael Hagerty, Shannon Houchins",,"Oct8,2021",1h39m,,Potsy Ponciroli,99.0,"Oct1,2021 ",limited,1,0
292,93 ,84,/m/some_kind_of_heaven,Some Kind of Heaven,2021,,43500.0,Lance Oppenheim,Magnolia Pictures,Documentary,English,"Darren Aronofsky, Simon Horsman, Kathleen Lingo, Lance Oppenheim, Melissa Oppenheim, Jeffrey Soros, Pacho Velez",,"Jan15,2021",1h23m,,,83.0,"Jan15,2021 ",limited,1,0
293,92 ,105,/m/the_humans,The Humans,2021,Flat(1.85:1),,Stephen Karam,A24,Comedy,English,"Stephen Karam, Louise Lovegrove",R,"Nov24,2021",1h48m,,Stephen Karam,108.0,"Nov24,2021 ",limited,1,0
294,94 ,49,/m/never_gonna_snow_again,Never Gonna Snow Again,2021,Scope(2.35:1),15300.0,Małgorzata Szumowska,Kino Lorber,Comedy,Polish,"Michal Englert, Viola Fügen, Małgorzata Szumowska, Agnieszka Wasiak, Michael Weber, Mariusz Wlodarski",,"Jul30,2021",1h53m,,"Małgorzata Szumowska, Michal Englert",113.0,"Jul30,2021 ",limited,1,0
295,93 ,72,/m/swan_song_2021,Swan Song,2021,Flat(1.85:1),125000.0,Todd Stephens,Magnolia Pictures,Lgbtq+,English,"Todd Stephens, Eric Eisenbrey, Tim Kaltenecker, Stephen Israel, Rhet Topham",,"Aug13,2021",1h45m,,Todd Stephens,105.0,"Aug6,2021 ",limited,1,0
296,90 ,144,/m/together_together,Together Together,2021,,1400000.0,Nikole Beckwith,Bleecker Street Media,Drama,English,"Daniela Taplin Lundberg, Anthony Brandonisio, Tim Headington",R,"Apr26,2021",1h30m,,Nikole Beckwith,90.0,"Apr23,2021 ",wide,1,1
297,93 ,69,/m/final_account,Final Account,2021,Flat(1.85:1),276000.0,Luke Holland,Focus Features,Documentary,German,"Luke Holland, John Battsek, Rieta Oord",PG-13,"Jul6,2021",1h34m,,,94.0,"May21,2021 ",limited,1,0
298,85 ,262,/m/the_last_duel_2021,The Last Duel,2021,Scope(2.35:1),10800000.0,Ridley Scott,20th Century Studios,History,English,"Ridley Scott, Kevin J. Walsh, Jennifer Fox, Nicole Holofcener",R,"Nov30,2021",2h33m,Dolby Atmos,"Nicole Holofcener, Ben Affleck, Matt Damon",153.0,"Oct15,2021 ",wide,1,1
